N value,Iteration number,Number of instructions,Ins per cycle,Percentage of misses,Seconds time elapsed,Metrica
108,1,5259881711,2.40,2.00,0.608570280,23328.000000
108,2,5259265795,2.40,1.99,0.619380019,11664.000000
864,1,218996404182,2.66,2.32,22.812505041,33177.601562
864,2,218996125576,2.66,2.32,23.068256186,31765.787109
256,1,22782502821,2.04,5.06,3.126693621,21845.333984
256,2,22783704792,2.04,5.09,3.094397030,21845.333984
2916,1,2357854933623,3.19,0.75,205.618272804,41377.402344
500,1,77458702998,2.36,3.54,9.060790310,27777.777344
500,2,77461410931,2.36,3.55,9.152986617,27777.777344
